type, 0, 1, 2, 3, 4, 5, 6, 7, 8
0, 94.614, 5.38596, 46.0916, 9.13522, 0.406571, 43.3232, 0.934245, 0.109189
0, 95.5501, 4.44991, 75.0757, 5.51519, 0.145945, 18.8422, 0.375576, 0.0454029
1, 99.8319, 0.168116, 32.6432, 0.429096, 0.356426, 66.5643, 0.00696447
1, 99.8671, 0.132908, 34.0756, 0.334935, 0.19962, 65.3879, 0.00196228
2, 97.9587, 2.04131, 17.2826, 3.78559, 1.75099, 77.1001, 0.0802466, 0.000482246
2, 97.8996, 2.10045, 17.2958, 3.55061, 1.82732, 77.2497, 0.076137, 0.000348171
3, 99.1558, 0.844183, 68.7762, 1.88925, 0.117457, 29.1406, 0.0670754, 0.00938259
3, 97.7214, 2.27857, 62.9941, 5.26593, 0.251345, 31.145, 0.318783, 0.0248607
3, 95.3303, 4.66969, 45.5918, 11.4202, 0.940867, 40.8686, 1.09666, 0.0818849
4, 98.1122, 1.88777, 98.4002, 1.01018, 0.0074918, 0.518576, 0.0561612, 0.00734964
4, 99.7123, 0.287731, 99.7128, 0.193885, 0.00678276, 0.02435, 0.0618414, 0.000351787









